timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
614850759,0,0,198,198,100,33,40
615898770,0,0,197,197,93,46,48
616815893,0,0,195,195,96,28,38
617852800,0,0,192,197,100,30,39
618908331,0,0,182,176,97,20,41
619809768,0,0,173,181,100,28,40
620866760,0,0,185,189,100,33,43
621897779,0,0,185,185,98,27,41
622815775,0,0,182,185,100,24,40
623875782,0,0,184,185,98,28,38
624890767,0,0,183,181,97,27,42
625808771,0,0,189,191,100,27,46
626989769,0,0,182,184,91,31,47
627903786,0,0,183,185,100,30,40
628831801,0,0,183,181,100,29,37
629879767,0,0,188,193,96,39,42
630913053,0,0,186,192,97,27,37
631836877,0,0,177,179,100,36,43
632879823,0,0,174,181,100,29,38
633911810,0,0,183,184,100,27,37
634872764,0,0,177,179,100,26,39
635886781,0,0,189,196,98,32,43
636803865,0,0,192,194,100,29,38
637845414,0,0,182,184,100,29,42
638893768,0,0,178,179,100,26,40
639810767,0,0,176,185,100,28,44
640839789,0,0,167,166,100,27,45
641890765,0,0,169,173,100,30,40
642855072,0,0,182,183,100,27,40
643836771,0,0,179,184,99,23,40
644886323,0,0,179,181,100,42,43
645817767,0,0,187,186,100,32,38
646849760,0,0,184,188,100,26,38
647896809,0,0,182,187,100,27,49
648816907,0,0,187,193,97,29,38
649849887,0,0,183,182,100,28,37
650894766,0,0,189,198,98,30,37
651816766,0,0,192,192,96,31,37
652842801,0,0,195,197,100,29,38
653913090,0,0,194,198,93,26,42
654818762,0,0,189,193,100,35,40
655857960,0,0,185,182,100,29,39
656902760,0,0,173,170,96,30,38
657827805,0,0,178,177,99,29,41
658867761,0,0,180,180,100,28,37
659907255,0,0,184,188,100,34,39
660826796,0,0,173,174,98,26,44
661909804,0,0,174,173,96,27,44
662915878,0,0,182,189,100,25,44
663831763,0,0,177,182,100,29,37
664883763,0,0,181,180,100,23,41
665927783,0,0,183,185,100,31,39
666841575,0,0,189,185,100,30,46
667874658,0,0,191,194,100,47,40
668812793,0,0,191,194,100,26,40
669839835,0,0,179,188,100,26,40
670871796,0,0,192,192,97,28,38
671809799,0,0,194,199,98,24,37
672849789,0,0,196,200,100,26,41
673875221,0,0,190,189,100,33,40
674804766,0,0,183,186,97,29,41
675851765,0,0,181,181,97,29,42
676884765,0,0,187,194,100,30,38
677828192,0,0,185,185,96,34,45
678857340,0,0,187,186,100,30,44
679805771,0,0,193,197,100,35,39
680817830,0,0,195,196,100,28,45
681855358,0,0,194,195,100,38,38
682901205,0,0,196,197,100,35,43
683816912,0,0,184,186,97,30,45
684856871,0,0,192,201,99,31,39
685901801,0,0,192,197,100,26,44
686821770,0,0,195,197,100,26,37
687866768,0,0,188,182,96,32,42
688919058,0,0,192,200,93,26,38
689818766,0,0,180,181,100,27,41
690866880,0,0,175,179,99,30,38
691912766,0,0,181,184,100,26,39
692817761,0,0,177,179,96,28,40
693876769,0,0,179,186,99,30,40
694907801,0,0,186,190,100,26,40
695829871,0,0,188,190,100,27,42
696921770,0,0,185,191,100,30,40
697811798,0,0,181,188,97,33,42
698835761,0,0,192,196,97,29,36
699886768,0,0,190,187,100,25,44
700809826,0,0,181,185,96,33,46
701847770,0,0,170,188,97,28,45
702885399,0,0,184,188,97,33,38
703918821,0,0,184,185,100,28,39
704843761,0,0,182,182,100,25,50
705891232,0,0,188,187,100,32,38
706826666,0,0,185,187,97,30,41
707848762,0,0,183,183,100,31,46
708887764,0,0,187,188,100,30,39
709815802,0,0,174,179,100,32,36
710851008,0,0,174,178,97,26,41
711895865,0,0,172,170,96,27,44
