timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
615353198,-0.3393624,-0.010515088,-0.0015138094,0.9405957,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615358202,-0.33936417,-0.010516652,-0.0015138357,0.94059515,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615403188,-0.33980724,-0.010541212,-0.0015244398,0.9404348,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615458179,-0.33975694,-0.010254114,-0.001497123,0.9404563,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615508170,-0.33905593,-0.010166489,-0.0015636731,0.94071007,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615558161,-0.33965975,-0.010201418,-0.0014960668,0.9404919,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615608152,-0.33908334,-0.009930897,-0.0016923266,0.9407024,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615658150,-0.33947313,-0.009740269,-0.001723627,0.9405638,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615708135,-0.3392231,-0.009750612,-0.0018040754,0.9406537,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615753127,-0.33942193,-0.009811077,-0.0016581274,0.9405816,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615808156,-0.33919618,-0.0098830825,-0.0016977978,0.94066226,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615858110,-0.33934554,-0.009911482,-0.0016525105,0.9406082,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615908100,-0.33923456,-0.009744468,-0.0016171832,0.9406499,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
615958106,-0.33919567,-0.0098274555,-0.0017960012,0.94066286,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616008084,-0.33920443,-0.009585828,-0.0017731795,0.94066226,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616058074,-0.33918983,-0.009520821,-0.0018188228,0.94066805,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616103066,-0.3391437,-0.00974958,-0.0018074163,0.9406824,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616158056,-0.33911368,-0.009773987,-0.0016685593,0.9406932,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616208089,-0.33912256,-0.009860761,-0.001727255,0.9406889,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616258050,-0.33905876,-0.009766605,-0.0016826254,0.940713,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616308033,-0.33903813,-0.00972195,-0.0017757135,0.9407208,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616358021,-0.3390329,-0.009360606,-0.0018282273,0.94072616,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616408013,-0.33901688,-0.009099601,-0.0017392366,0.9407347,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616453006,-0.33890456,-0.008280679,-0.0019266017,0.94078237,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616507995,-0.33883804,-0.008069215,-0.0019929446,0.940808,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616557986,-0.33879936,-0.008271749,-0.0018182681,0.9408206,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616607978,-0.33865038,-0.008011718,-0.002456915,0.94087505,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616657968,-0.3384787,-0.0075347517,-0.0026314682,0.9409402,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616707960,-0.33841944,-0.006693943,-0.0023525478,0.94096863,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616757952,-0.33821353,-0.0065749427,-0.0026518006,0.9410427,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616802946,-0.33813372,-0.0060860952,-0.0027312778,0.94107443,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616857934,-0.33788052,-0.0056743827,-0.0028871575,0.94116753,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616907925,-0.33775762,-0.005177166,-0.0032843058,0.94121325,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
616957916,-0.33760244,-0.0047423095,-0.003486127,0.9412705,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617007908,-0.33748743,-0.0037629053,-0.004134504,0.9413135,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617057899,-0.3372415,-0.0029846427,-0.003900552,0.9414054,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617107942,-0.33691803,-0.0019841364,-0.0046357317,0.9415205,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617152883,-0.33716205,-0.0008746703,-0.005734463,0.94142884,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617207873,-0.33811727,0.0017306381,-0.0059512625,0.9410836,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617257886,-0.33949718,0.0048059784,-0.00674267,0.94057065,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617307856,-0.34117606,0.009871137,-0.009667212,0.9398979,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617357848,-0.34429094,0.016009707,-0.011529054,0.9386558,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617407838,-0.34816596,0.021048423,-0.0129850665,0.93710667,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617457829,-0.3519655,0.023137704,-0.01485671,0.93560904,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617502822,-0.35555863,0.024245854,-0.013563784,0.934241,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617557812,-0.360227,0.022994801,-0.012094721,0.93250287,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617607803,-0.36412722,0.021383233,-0.010735022,0.93104184,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617657794,-0.36793602,0.018874427,-0.006532407,0.9296366,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617707786,-0.37089044,0.014399901,-0.007098317,0.92853785,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617757777,-0.3739126,0.011906105,-0.007377628,0.9273582,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617807768,-0.37580642,0.007518951,-0.0041988026,0.9266582,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617857759,-0.37757462,0.0052172355,-0.0037129526,0.9259571,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617907750,-0.3792185,0.0042993496,-0.0036095749,0.9252902,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
617957791,-0.38034168,0.0032219335,-0.0052373824,0.92482567,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
618007752,-0.38176396,0.0027027773,-0.0058360035,0.9242375,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
618057724,-0.38235766,0.0007245908,-0.0032306397,0.9240085,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
618107716,-0.38309819,0.0009690297,-0.0026084746,0.92370343,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
618157707,-0.38341352,0.0017387365,-0.0031821036,0.92356974,0.9999999,2.2297244e-11,-8.2146434e-10,0.00047517612,3
