timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
615220693,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
615722317,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
616228185,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
616737091,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
617247075,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
617747147,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
618258312,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
618766080,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
619098495,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
619607073,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
620115228,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
620621107,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
621128075,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
621634221,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
622141194,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
622649076,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
623159107,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
623669105,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
624170074,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
624678223,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
625184390,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
625691150,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
626198077,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
626704195,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
627211115,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
627717135,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
628223073,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
628733108,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
629233148,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
629744229,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
630255163,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
630761166,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
631267190,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
631773140,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
632280077,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
632787107,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
633293085,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
633799197,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
634308117,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
634817162,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
635325790,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
635832072,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
636341353,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
636848117,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
637354215,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
637861150,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
638368308,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
638875141,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
