timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
615291088,2008095804600205,362048146,1382529220,40981,78077,0.33900002,0.7568247,1.7530001,3.0740001,0.77,1.35,103,24,0.036000002,0.011000001,0.035,-0.10300001,1.1893106,0,nan,0.0,3,1,12
615488043,2008095804800205,362048146,1382529219,40989,78085,0.33600003,0.75682586,1.7530001,3.0730002,0.77,1.35,103,24,0.054,-0.05,-0.020000001,-0.09200001,1.1893106,0,nan,0.0,3,1,12
616290101,2008095805600205,362048149,1382529222,41074,78170,0.349,0.75683045,1.751,3.0700002,0.77,1.35,103,27,0.017,-0.017,0.0,-0.040000003,1.1893106,0,nan,0.0,3,1,12
617294720,2008095806600204,362048153,1382529221,41124,78220,0.294,0.756836,1.7490001,3.065,0.77,1.35,103,22,0.048,0.048,-0.002,-0.006,1.1893106,0,nan,0.0,3,1,12
618294293,2008095807600204,362048158,1382529221,41112,78208,0.33600003,0.7568421,1.7470001,3.061,0.77,1.35,103,35,0.055000003,0.028,0.047000002,-0.148,1.1893106,0,nan,0.0,3,1,12
619292045,2008095808600204,362048158,1382529219,41029,78125,0.43300003,0.7568493,1.7500001,3.0690002,0.77,1.35,103,34,0.043,-0.043,-0.006,-0.047000002,1.1893106,0,nan,0.0,3,1,12
620288175,2008095809600203,362048197,1382529190,40771,77867,0.637,0.7075156,1.8240001,3.104,0.77,1.35,103,17,0.23700002,0.171,-0.164,0.11800001,6.1633263,0,nan,0.0,3,1,12
621293857,2008095810600203,362048196,1382529189,40477,77573,0.45800003,0.7075249,1.8520001,3.131,0.77,1.35,103,24,0.27800003,-0.245,0.13100001,0.12200001,6.1633263,0,nan,0.0,3,1,12
622290047,2008095811600202,362048192,1382529185,40434,77531,0.44500002,0.7075327,1.858,3.154,0.77,1.35,103,15,0.078,-0.07700001,0.014,-0.08400001,6.1633263,0,nan,0.0,3,1,12
623289048,2008095812600202,362048190,1382529182,40183,77280,0.36400002,0.7075425,1.8820001,3.173,0.94,1.68,103,29,0.17400001,-0.17400001,-0.011000001,0.133,6.1633263,0,nan,0.0,3,1,11
624292316,2008095813600202,362048182,1382529186,40220,77317,0.32900003,0.70755017,1.8550001,3.1350002,0.77,1.35,103,40,0.010000001,-0.002,0.009000001,0.086,6.1633263,0,nan,0.0,3,1,12
625287639,2008095814600201,362048178,1382529184,40220,77317,0.54300004,0.7075573,1.8590001,3.1420002,0.77,1.35,102,36,0.047000002,0.041,0.023000002,-0.010000001,6.1633263,0,nan,0.0,3,1,12
626289097,2008095815600201,362048168,1382529194,40353,77450,0.597,0.70756793,1.9060001,3.1750002,0.77,1.35,102,16,0.079,-0.07300001,-0.029000001,-0.055000003,6.1633263,0,nan,0.0,3,1,12
627289079,2008095816600201,362048173,1382529210,40410,77507,0.85400003,0.70758474,2.071,3.2900002,0.77,1.35,102,16,0.71300006,0.514,0.49400002,-0.040000003,6.1633263,0,nan,0.0,3,1,12
628287095,2008095817600200,362048158,1382529205,40255,77351,0.80300003,0.7076003,2.2410002,3.4750001,0.77,1.35,102,51,0.38200003,-0.035,-0.381,0.028,6.1633263,0,nan,0.0,3,1,12
629291544,2008095818600200,362048172,1382529180,40388,77484,0.79300004,0.7076167,2.443,3.7340002,0.77,1.35,102,24,0.245,0.108,0.22000001,-0.18800001,6.1633263,0,nan,0.0,3,1,12
630292195,2008095819600199,362048191,1382529174,40575,77671,0.89500004,0.70763427,2.608,4.01,0.77,1.35,102,39,0.38300002,0.316,-0.216,-0.11400001,6.1633263,0,nan,0.0,3,1,12
631291241,2008095820600199,362048171,1382529139,40063,77159,0.757,0.70765084,2.7480001,4.2720003,0.77,1.35,102,26,0.416,-0.22500001,-0.35000002,0.093,6.1633263,0,nan,0.0,3,1,12
632290042,2008095821600199,362048175,1382529138,39967,77064,0.27400002,0.70765907,2.6880002,4.085,0.77,1.35,102,24,0.030000001,0.028,-0.012,-0.016,6.1633263,0,nan,0.0,3,1,12
633284292,2008095822600198,362048163,1382529139,40246,77343,0.512,0.7076662,2.6250002,3.9420002,0.83,1.4,102,34,0.25,-0.24900001,-0.019000001,0.054,6.1633263,0,nan,0.0,3,1,11
634290684,2008095823600198,362048161,1382529143,39825,76921,0.63000005,0.707679,2.703,4.031,0.77,1.35,102,37,0.11100001,0.056,-0.096,0.3,6.1633263,0,nan,0.0,3,1,12
635296099,2008095824600198,362048164,1382529140,39774,76870,0.43500003,0.7076901,2.713,4.0880003,0.77,1.35,102,17,0.025,0.008,-0.024,0.010000001,6.1633263,0,nan,0.0,3,1,12
636291270,2008095825600197,362048175,1382529152,39627,76723,0.344,0.7076966,2.615,3.9320002,0.77,1.35,102,24,0.010000001,-0.0050000004,0.009000001,-0.020000001,6.1633263,0,nan,0.0,3,1,12
637291056,2008095826600197,362048182,1382529164,39597,76693,0.328,0.7077027,2.542,3.8470001,0.77,1.35,102,30,0.067,0.049000002,-0.046000004,0.08800001,6.1633263,0,nan,0.0,3,1,12
638294144,2008095827600196,362048181,1382529163,39669,76765,0.333,0.7077092,2.4840002,3.7870002,0.77,1.35,102,30,0.011000001,0.011000001,0.003,0.017,6.1633263,0,nan,0.0,3,1,12
639295089,2008095828600196,362048187,1382529163,39521,76618,0.319,0.7077149,2.41,3.703,0.77,1.35,102,46,0.036000002,0.013,-0.034,0.080000006,6.1633263,0,nan,0.0,3,1,12
640285580,2008095829600196,362048188,1382529164,39434,76530,0.377,0.70772153,2.3530002,3.6350002,0.77,1.35,102,26,0.11800001,-0.117000006,-0.017,0.42400002,6.1633263,0,nan,0.0,3,1,12
641291088,2008095830600195,362048192,1382529167,39379,76476,0.407,0.70772946,2.329,3.6090002,0.77,1.35,102,40,0.022000002,0.011000001,-0.019000001,0.064,6.1633263,0,nan,0.0,3,1,12
642293053,2008095831600195,362048195,1382529173,39515,76611,0.27400002,0.70773536,2.2640002,3.5240002,0.77,1.35,102,26,0.013,0.010000001,-0.007,-0.016,6.1633263,0,nan,0.0,3,1,12
643294897,2008095832600195,362048191,1382529183,39746,76842,0.208,0.7077409,2.1660001,3.4010003,0.77,1.35,102,16,0.035,0.004,-0.035,-0.023000002,6.1633263,0,nan,0.0,3,1,12
644292181,2008095833600194,362048183,1382529186,39841,76938,0.277,0.7077467,2.1230001,3.3500001,0.77,1.35,102,20,0.029000001,-0.016,-0.024,0.018000001,6.1633263,0,nan,0.0,3,1,12
645292048,2008095834600194,362048185,1382529190,39950,77046,0.46600002,0.7077539,2.117,3.3560002,0.77,1.35,102,27,0.052,-0.046000004,0.024,-0.15300001,6.1633263,0,nan,0.0,3,1,12
646288528,2008095835600193,362048187,1382529194,39950,77046,0.298,0.7077607,2.061,3.2840002,0.77,1.35,102,15,0.033,0.0050000004,-0.032,0.044000003,6.1633263,0,nan,0.0,3,1,12
647294292,2008095836600193,362048188,1382529201,39998,77094,0.33600003,0.7077657,2.029,3.2510002,0.77,1.35,102,28,0.059000004,-0.059000004,-0.007,-0.042000003,6.1633263,0,nan,0.0,3,1,12
648298045,2008095837600193,362048168,1382529189,39832,76928,0.708,0.7077751,2.056,3.2610002,0.77,1.35,102,20,0.69200003,-0.6,-0.34500003,0.15400001,6.1633263,0,nan,0.0,3,1,12
649300051,2008095838600192,362048160,1382529181,39885,76982,0.531,0.70778614,2.089,3.2960002,0.77,1.35,102,25,0.063,-0.058000002,0.027,-0.072000004,6.1633263,0,nan,0.0,3,1,12
650305048,2008095839600192,362048162,1382529180,39818,76914,0.33800003,0.7077926,2.039,3.2250001,0.77,1.35,102,26,0.022000002,0.019000001,-0.012,0.078,6.1633263,0,nan,0.0,3,1,12
651288149,2008095840600191,362048159,1382529186,39753,76849,0.29500002,0.7077987,2.0010002,3.1850002,0.77,1.35,102,32,0.063,-0.041,-0.047000002,-0.07700001,6.1633263,0,nan,0.0,3,1,12
652289044,2008095841600191,362048152,1382529192,39838,76935,0.32700002,0.707805,1.9750001,3.1590002,0.77,1.35,102,15,0.048,-0.004,-0.048,0.085,6.1633263,0,nan,0.0,3,1,12
653289042,2008095842600191,362048152,1382529194,39852,76949,0.30400002,0.7078106,1.9510001,3.134,0.77,1.35,102,29,0.011000001,0.011000001,0.001,-0.019000001,6.1633263,0,nan,0.0,3,1,12
654294174,2008095843600190,362048150,1382529202,39867,76963,0.245,0.7078162,1.9290001,3.1090002,0.77,1.35,101,41,0.060000002,-0.035,0.048,-0.008,6.1633263,0,nan,0.0,3,1,12
655292068,2008095844600190,362048156,1382529204,39996,77093,0.333,0.7078221,1.9070001,3.0800002,0.77,1.35,101,20,0.021000002,-0.020000001,0.006,-0.056,6.1633263,0,nan,0.0,3,1,12
656291608,2008095845600190,362048163,1382529205,40157,77253,0.30100003,0.70782816,1.8730001,3.029,0.77,1.35,102,16,0.018000001,-0.015000001,-0.010000001,-0.043,6.1633263,0,nan,0.0,3,1,12
657291232,2008095846600189,362048167,1382529205,40150,77246,0.29200003,0.7078338,1.8410001,2.9810002,0.77,1.35,102,32,0.027,-0.022000002,0.015000001,0.057000004,6.1633263,0,nan,0.0,3,1,12
