timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
615264334,inf,0,1,1,1,1
616274165,inf,0,1,1,1,1
617063862,inf,0,1,0,0,1
617254249,inf,0,0,0,0,0
618263765,inf,0,0,0,0,0
619273688,inf,0,0,0,0,0
619833709,inf,0,0,0,0,1
620843545,inf,0,0,0,0,1
621453504,inf,0,0,0,0,0
622462915,inf,0,0,0,0,0
623468158,inf,0,0,0,0,0
624477630,inf,0,0,0,0,0
625487535,inf,0,0,0,0,0
626497181,inf,0,0,0,0,0
627507145,inf,0,0,0,0,0
628516848,inf,0,0,0,0,0
629526839,inf,0,0,0,0,0
630536386,inf,0,0,0,0,0
631536562,inf,0,0,0,0,0
632546372,inf,0,0,0,0,0
633546702,inf,0,0,0,0,0
634556508,inf,0,0,0,0,0
635566226,inf,0,0,0,0,0
636575541,inf,0,0,0,0,0
637585595,inf,0,0,0,0,0
638595232,inf,0,0,0,0,0
639605288,inf,0,0,0,0,0
640614751,inf,0,0,0,0,0
641614783,inf,0,0,0,0,0
642624488,inf,0,0,0,0,0
643634570,inf,0,0,0,0,0
644644079,inf,0,0,0,0,0
645653830,inf,0,0,0,0,0
646653968,inf,0,0,0,0,0
647663764,inf,0,0,0,0,0
648673486,inf,0,0,0,0,0
649683050,inf,0,0,0,0,0
650687981,inf,0,0,0,0,0
651698110,inf,0,0,0,0,0
652707711,inf,0,0,0,0,0
653717407,inf,0,0,0,0,0
654727546,inf,0,0,0,0,0
655737030,inf,0,0,0,0,0
656737147,inf,0,0,0,0,0
657747529,inf,0,0,0,0,0
658757133,inf,0,0,0,0,0
659766516,inf,0,0,0,0,0
660776095,inf,0,0,0,0,0
661776202,inf,0,0,0,0,0
662785834,inf,0,0,0,0,0
663795526,inf,0,0,0,0,0
664805548,inf,0,0,0,0,0
665815208,inf,0,0,0,0,0
666824883,inf,0,0,0,0,0
667834533,inf,0,0,0,0,0
668834709,inf,0,0,0,0,0
669844300,inf,0,0,0,0,0
670854416,inf,0,0,0,0,0
671863776,inf,0,0,0,0,0
672873649,inf,0,0,0,0,0
673883430,inf,0,0,0,0,0
674893421,inf,0,0,0,0,0
675898062,inf,0,0,0,0,0
676908075,inf,0,0,0,0,0
677917528,inf,0,0,0,0,0
678927585,inf,0,0,0,0,0
679937074,inf,0,0,0,0,0
680946993,inf,0,0,0,0,0
681957368,inf,0,0,0,0,0
682966906,inf,0,0,0,0,0
683976430,inf,0,0,0,0,0
684986260,inf,0,0,0,0,0
685996003,inf,0,0,0,0,0
687005964,inf,0,0,0,0,0
688015421,inf,0,0,0,0,0
689025271,inf,0,0,0,0,0
690025377,inf,0,0,0,0,0
691034958,inf,0,0,0,0,0
692044767,inf,0,0,0,0,0
693054432,inf,0,0,0,0,0
694054448,inf,0,0,0,0,0
695059009,inf,0,0,0,0,0
696068847,inf,0,0,0,0,0
697068854,inf,0,0,0,0,0
698078368,inf,0,0,0,0,0
699088412,inf,0,0,0,0,0
700097944,inf,0,0,0,0,0
701098244,inf,0,0,0,0,0
