timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
333012218,333011996,0.0019804346,-0.008630103,-0.00022687325,0.001,0.0,0.0,0.0,-1.0
333016022,333015798,0.0023247292,-0.008798768,-0.00025799553,0.001,0.0,0.0,0.0,-1.0
333114742,333114514,0.00023934197,-0.019190118,-0.0020734414,0.001,0.0,0.0,0.0,-1.0
333212189,333211966,0.004398004,-0.0090516,0.0011969599,0.001,0.0,0.0,0.0,-1.0
334197055,334196828,0.006922452,-0.005927657,-0.0011853239,0.032346237,0.0,0.0,0.0,-1.0
334199558,334199326,0.0030421605,-0.0049875486,-0.0007082741,0.032346237,0.0,0.0,0.0,-1.0
334297033,334296812,-0.007098015,0.0247382,8.044066e-07,0.047532134,0.0,0.0,0.0,-1.0
334398271,334398048,0.027824035,-0.005477301,-0.00026556844,0.06504673,0.0,0.0,0.0,-1.0
334497012,334496784,0.005349082,-0.032240026,0.00040074624,0.08940713,0.0,0.0,0.0,-1.0
334598242,334598019,0.0304393,0.020474488,-0.0009986691,0.11287918,0.0,0.0,0.0,-1.0
334699485,334699257,-0.04050248,0.043718074,0.003150854,0.13575357,0.0,0.0,0.0,-1.0
334798219,334797991,-0.035871524,0.017303165,0.0027671356,0.16032797,0.0,0.0,0.0,-1.0
334899455,334899227,0.042924777,0.015705762,0.0017891431,0.19007681,0.0,0.0,0.0,-1.0
334996934,334996713,-0.029993117,0.038868573,-0.017943697,0.2180911,0.0,0.0,0.0,-1.0
335098174,335097949,0.097252935,0.041832585,-0.02445517,0.24158253,0.0,0.0,0.0,-1.0
335196902,335196685,0.015772967,0.0888896,-0.051553797,0.27483952,0.0,0.0,0.0,-1.0
335298144,335297920,0.07493211,0.072762094,-0.06528313,0.28781915,0.0,0.0,0.0,-1.0
335399384,335399157,0.09845514,0.094213404,-0.07310089,0.27082866,0.0,0.0,0.0,-1.0
335498126,335497893,0.08328631,0.087796815,-0.078634195,0.2654219,0.0,0.0,0.0,-1.0
335599348,335599128,0.01946023,0.073897466,-0.07888208,0.26757863,0.0,0.0,0.0,-1.0
335696842,335696614,-0.043574065,0.08343761,-0.07930322,0.26862234,0.0,0.0,0.0,-1.0
335799329,335799100,0.15777154,0.06731716,-0.07905488,0.27256787,0.0,0.0,0.0,-1.0
335896804,335896586,0.1006639,0.04193894,-0.07619439,0.2711956,0.0,0.0,0.0,-1.0
335998049,335997822,0.06462595,0.04388668,-0.07645058,0.26732856,0.0,0.0,0.0,-1.0
336099279,336099057,0.08975372,0.08133786,-0.07036988,0.272628,0.0,0.0,0.0,-1.0
336198021,336197794,0.14417292,0.09527343,-0.073084965,0.27469072,0.0,0.0,0.0,-1.0
336299256,336299029,-0.015792046,0.058933817,-0.07780215,0.27549154,0.0,0.0,0.0,-1.0
336396778,336396555,0.0794572,0.061561853,-0.07628008,0.27704403,0.0,0.0,0.0,-1.0
336499225,336499001,0.114158966,0.07516464,-0.07129334,0.2781481,0.0,0.0,0.0,-1.0
336596704,336596487,-0.045377668,0.07688957,-0.03232376,0.27837932,0.0,0.0,0.0,-1.0
336697950,336697722,-0.020151822,0.098741315,-0.058696162,0.26186454,0.0,0.0,0.0,-1.0
336799185,336798958,0.15059195,0.080938414,-0.066933654,0.2427407,0.0,0.0,0.0,-1.0
336897922,336897695,0.09672352,0.06037408,-0.06554216,0.21856904,0.0,0.0,0.0,-1.0
336999152,336998930,0.008202427,0.05575263,-0.06410164,0.19555351,0.0,0.0,0.0,-1.0
337096634,337096416,0.12577382,0.036945846,-0.052635666,0.12,0.0,0.0,0.0,-1.0
337199164,337198942,0.004021149,0.050106417,-0.05334148,0.21626481,0.0,0.0,0.0,-1.0
337296611,337296388,0.17136571,0.058954567,-0.068150975,0.28962857,0.0,0.0,0.0,-1.0
337397848,337397623,0.08504529,0.06405925,-0.07448412,0.3103198,0.0,0.0,0.0,-1.0
337500335,337500111,0.06365692,0.0504725,-0.077652864,0.2778003,0.0,0.0,0.0,-1.0
337597823,337597595,0.13552742,0.048065383,-0.07715706,0.30302614,0.0,0.0,0.0,-1.0
337699057,337698831,0.09478425,0.07785599,-0.084766254,0.3240763,0.0,0.0,0.0,-1.0
337797808,337797567,0.020919578,0.091378845,-0.077783085,0.26506948,0.0,0.0,0.0,-1.0
337899033,337898802,0.020772712,0.050243028,-0.07377909,0.21879953,0.0,0.0,0.0,-1.0
337996507,337996290,0.02526078,0.04850207,-0.06906167,0.23576696,0.0,0.0,0.0,-1.0
338097753,338097526,0.090971604,0.07246709,-0.07131501,0.2632366,0.0,0.0,0.0,-1.0
338200235,338200011,0.11272446,0.09588701,-0.07190726,0.26960757,0.0,0.0,0.0,-1.0
338297721,338297497,-0.024282353,0.093123995,-0.07327218,0.25665116,0.0,0.0,0.0,-1.0
338398958,338398736,0.055957176,0.07204925,-0.069525465,0.258657,0.0,0.0,0.0,-1.0
338497693,338497468,0.058909718,0.05871828,-0.074108295,0.2618421,0.0,0.0,0.0,-1.0
338598933,338598704,0.14368626,0.09355696,-0.079593964,0.26594394,0.0,0.0,0.0,-1.0
338696412,338696189,0.03789127,0.07768421,-0.07490121,0.26368743,0.0,0.0,0.0,-1.0
