timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
332826769,0,0,176,171,97,38,29
333858763,0,0,171,178,97,30,33
334902756,0,0,175,176,97,30,38
335827765,0,0,182,182,100,32,38
336862004,0,0,185,183,96,26,35
337806796,0,0,188,177,100,32,39
338833756,0,0,185,183,96,30,40
339863470,0,0,188,191,96,29,35
340897768,0,0,189,189,100,35,34
341824899,0,0,178,177,100,32,34
342864760,0,0,184,189,99,32,43
343804757,0,0,189,189,100,26,36
344844762,0,0,187,186,96,31,37
345869763,0,0,188,186,100,28,34
346808757,0,0,183,175,100,38,34
347845764,0,0,170,178,99,32,37
348866762,0,0,172,176,98,31,44
349802766,0,0,178,183,100,28,32
350841796,0,0,179,184,100,29,35
351881638,0,0,178,171,94,30,33
352814760,0,0,184,182,100,30,39
353847789,0,0,182,183,100,32,36
354883763,0,0,181,182,100,30,39
355803862,0,0,174,173,97,44,46
356861763,0,0,185,187,97,33,34
357882765,0,0,182,189,96,31,33
358813767,0,0,186,189,99,31,37
359862766,0,0,192,197,100,30,35
360815860,0,0,190,193,100,35,41
361818764,0,0,190,196,100,32,43
362863810,0,0,187,191,99,28,33
363895763,0,0,186,181,99,43,36
364819758,0,0,190,192,96,27,40
365857642,0,0,172,175,100,38,33
366911110,0,0,183,186,100,28,37
367820759,0,0,184,191,100,32,36
368855768,0,0,182,188,100,33,33
369897760,0,0,189,188,98,32,41
370826772,0,0,190,187,97,38,31
371879758,0,0,188,184,93,33,38
372909939,0,0,189,193,100,31,32
373829773,0,0,184,182,94,23,31
374885760,0,0,177,181,94,30,31
375900762,0,0,181,178,94,31,36
376833794,0,0,181,179,100,33,34
377883547,0,0,169,176,98,31,38
378824767,0,0,177,178,96,34,34
379840757,0,0,187,189,97,33,39
380886843,0,0,190,187,100,32,40
381804766,0,0,183,184,98,30,34
382838765,0,0,192,186,97,31,35
383892765,0,0,176,187,97,32,34
384916762,0,0,185,183,100,30,41
385841332,0,0,183,191,98,32,34
386891191,0,0,190,185,100,35,35
387822983,0,0,187,194,94,34,38
388846761,0,0,194,196,100,27,34
389897764,0,0,189,197,98,35,44
390817804,0,0,186,179,100,40,35
391863798,0,0,180,179,97,31,34
392900197,0,0,178,181,96,44,36
393829773,0,0,186,186,94,30,35
394853768,0,0,190,188,100,34,39
395809141,0,0,183,180,100,33,39
396824709,0,0,178,177,97,33,35
397860759,0,0,185,187,97,27,32
398912766,0,0,190,192,93,30,37
399835760,0,0,183,185,100,31,37
400854757,0,0,174,172,94,23,42
401918767,0,0,187,188,97,33,36
402831761,0,0,189,190,100,32,32
403857768,0,0,193,192,100,29,33
404800937,0,0,197,198,100,31,34
405835781,0,0,202,199,97,32,35
406878815,0,0,188,195,100,29,44
407806856,0,0,179,178,100,45,34
408843849,0,0,185,196,100,30,35
409868758,0,0,191,192,97,32,30
410799873,0,0,192,194,100,22,39
411834764,0,0,190,192,100,28,31
412874756,0,0,195,192,96,30,38
413812763,0,0,185,182,96,29,33
414852862,0,0,173,174,93,30,34
415879766,0,0,186,187,100,44,42
416806762,0,0,184,183,100,30,36
417839975,0,0,178,175,100,37,44
418880761,0,0,178,180,97,32,39
419803760,0,0,176,181,97,30,35
420855763,0,0,179,181,97,34,32
421889763,0,0,182,182,100,29,35
422827057,0,0,177,179,96,28,40
423856767,0,0,167,177,97,34,40
424889758,0,0,174,177,97,31,32
425824116,0,0,181,188,97,28,36
426871760,0,0,178,186,100,30,34
427895760,0,0,187,188,94,29,41
428835808,0,0,185,179,96,32,36
429861759,0,0,183,192,100,30,38
430810796,0,0,194,189,100,33,33
431825766,0,0,193,195,97,33,35
432868767,0,0,194,194,97,30,33
433917760,0,0,193,194,97,31,39
