timestamp,safety_switch_available,safety_off,override_available,override_enabled
332880397,1,1,0,0
333897789,1,1,0,0
334900164,1,1,0,0
335922584,1,1,0,0
336944909,1,1,0,0
337959686,1,1,0,0
338979614,1,1,0,0
339999388,1,1,0,0
341014422,1,1,0,0
342024215,1,1,0,0
343046484,1,1,0,0
344056270,1,1,0,0
345073815,1,1,0,0
346083973,1,1,0,0
347105816,1,1,0,0
348118167,1,1,0,0
349133148,1,1,0,0
350137924,1,1,0,0
351157872,1,1,0,0
352177693,1,1,0,0
353200021,1,1,0,0
354222297,1,1,0,0
355237235,1,1,0,0
356254477,1,1,0,0
357271980,1,1,0,0
358286817,1,1,0,0
359309123,1,1,0,0
360321381,1,1,0,0
361328767,1,1,0,0
362331096,1,1,0,0
363335963,1,1,0,0
364350841,1,1,0,0
365370703,1,1,0,0
366373225,1,1,0,0
367375382,1,1,0,0
368392772,1,1,0,0
369410087,1,1,0,0
370429868,1,1,0,0
371437248,1,1,0,0
372447017,1,1,0,0
373459390,1,1,0,0
374471727,1,1,0,0
375476559,1,1,0,0
376491342,1,1,0,0
377508935,1,1,0,0
378531116,1,1,0,0
379533447,1,1,0,0
380535788,1,1,0,0
381540505,1,1,0,0
382560551,1,1,0,0
383565219,1,1,0,0
384582556,1,1,0,0
385584924,1,1,0,0
386597294,1,1,0,0
387619536,1,1,0,0
388626923,1,1,0,0
389646717,1,1,0,0
390659062,1,1,0,0
391671364,1,1,0,0
392678645,1,1,0,0
393698465,1,1,0,0
394708355,1,1,0,0
395710765,1,1,0,0
396730413,1,1,0,0
397745438,1,1,0,0
398747718,1,1,0,0
399762392,1,1,0,0
400767260,1,1,0,0
401779559,1,1,0,0
402796912,1,1,0,0
403799123,1,1,0,0
404801453,1,1,0,0
405811364,1,1,0,0
406818662,1,1,0,0
407836148,1,1,0,0
408848168,1,1,0,0
409850582,1,1,0,0
410857765,1,1,0,0
411870076,1,1,0,0
412875010,1,1,0,0
413882368,1,1,0,0
414889609,1,1,0,0
415901861,1,1,0,0
416924183,1,1,0,0
417938950,1,1,0,0
418943827,1,1,0,0
419966106,1,1,0,0
420973486,1,1,0,0
421980640,1,1,0,0
422998122,1,1,0,0
424010236,1,1,0,0
425022688,1,1,0,0
426032368,1,1,0,0
427047220,1,1,0,0
428056918,1,1,0,0
429066694,1,1,0,0
430071534,1,1,0,0
431076343,1,1,0,0
432083824,1,1,0,0
433088414,1,1,0,0
434110674,1,1,0,0
435130457,1,1,0,0
436135397,1,1,0,0
437150072,1,1,0,0
438162350,1,1,0,0
439174654,1,1,0,0
440179470,1,1,0,0
441194195,1,1,0,0
442213997,1,1,0,0
443223846,1,1,0,0
444231029,1,1,0,0
445233581,1,1,0,0
446235742,1,1,0,0
447247983,1,1,0,0
448250224,1,1,0,0
449272490,1,1,0,0
450289719,1,1,0,0
451301997,1,1,0,0
452306805,1,1,0,0
453321648,1,1,0,0
454343915,1,1,0,0
455346271,1,1,0,0
456365833,1,1,0,0
457388150,1,1,0,0
458405544,1,1,0,0
459417770,1,1,0,0
460437437,1,1,0,0
461454859,1,1,0,0
462459473,1,1,0,0
463476787,1,1,0,0
464492097,1,1,0,0
465496610,1,1,0,0
466503762,1,1,0,0
467510880,1,1,0,0
468528223,1,1,0,0
469540643,1,1,0,0
470550190,1,1,0,0
471555020,1,1,0,0
472577217,1,1,0,0
473589546,1,1,0,0
474601803,1,1,0,0
475621579,1,1,0,0
476638855,1,1,0,0
477661125,1,1,0,0
478663522,1,1,0,0
479683124,1,1,0,0
480687891,1,1,0,0
481705092,1,1,0,0
482727403,1,1,0,0
483749601,1,1,0,0
484756826,1,1,0,0
485764085,1,1,0,0
486766493,1,1,0,0
487773779,1,1,0,0
488793443,1,1,0,0
489795735,1,1,0,0
490812981,1,1,0,0
491827633,1,1,0,0
492842586,1,1,0,0
493847185,1,1,0,0
494869409,1,1,0,0
495881738,1,1,0,0
496898984,1,1,0,0
497906209,1,1,0,0
498928487,1,1,0,0
499948248,1,1,0,0
500960523,1,1,0,0
501970335,1,1,0,0
502974914,1,1,0,0
503992255,1,1,0,0
504997029,1,1,0,0
506016728,1,1,0,0
507023973,1,1,0,0
508041235,1,1,0,0
509063532,1,1,0,0
510085748,1,1,0,0
511085767,1,1,0,0
512095237,1,1,0,0
513104962,1,1,0,0
514124801,1,1,0,0
515144515,1,1,0,0
516149382,1,1,0,0
517161512,1,1,0,0
518173921,1,1,0,0
519195959,1,1,0,0
520198213,1,1,0,0
521202915,1,1,0,0
522222754,1,1,0,0
523242474,1,1,0,0
524247229,1,1,0,0
525249381,1,1,0,0
526271685,1,1,0,0
527283931,1,1,0,0
528291514,1,1,0,0
529308458,1,1,0,0
530320686,1,1,0,0
531337821,1,1,0,0
532352565,1,1,0,0
533369860,1,1,0,0
534389531,1,1,0,0
535404446,1,1,0,0
536406522,1,1,0,0
537418809,1,1,0,0
538423509,1,1,0,0
539443286,1,1,0,0
540465648,1,1,0,0
541472672,1,1,0,0
542487415,1,1,0,0
543489618,1,1,0,0
544509423,1,1,0,0
545524176,1,1,0,0
546528916,1,1,0,0
547551162,1,1,0,0
548555834,1,1,0,0
549573238,1,1,0,0
550592753,1,1,0,0
551612580,1,1,0,0
552634793,1,1,0,0
553644468,1,1,0,0
554649269,1,1,0,0
