timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
333008246,-0.2780938,-0.00413934,-0.0023170428,0.96054226,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
333013247,-0.27809644,-0.0041385395,-0.0023159594,0.9605415,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
333063237,-0.27809906,-0.0041334624,-0.0023138856,0.9605407,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
333113230,-0.27813303,-0.0041748555,-0.0023298466,0.9605307,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
333163223,-0.2782509,-0.004146674,-0.0023195415,0.9604967,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334193134,-0.27826956,-0.0036034314,-0.0023462637,0.96049345,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334198113,-0.27825445,-0.0035610204,-0.0023454414,0.960498,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334248078,-0.278262,-0.003605629,-0.0024170817,0.9604955,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334293065,-0.27826035,-0.0032782077,-0.0023352955,0.96049726,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334348055,-0.27829573,-0.0030547406,-0.0022415926,0.96048796,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334398048,-0.27826568,-0.0031610213,-0.002479184,0.9604957,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334448041,-0.2782279,-0.003180983,-0.002249477,0.96050715,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334498034,-0.27835113,-0.0029954533,-0.0025047753,0.96047145,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334548026,-0.2782119,-0.0029066482,-0.0022600752,0.9605127,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334598019,-0.27832058,-0.0024336935,-0.0024206182,0.9604821,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334643023,-0.27816734,-0.0024994367,-0.002453913,0.9605262,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334698007,-0.27805933,-0.0018333318,-0.0024849256,0.96055895,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334747998,-0.27794197,-0.0009915275,-0.0029797752,0.9605928,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334797991,-0.27785087,-0.0007005194,-0.0028580253,0.9606198,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334847984,-0.2777379,0.00013162039,-0.0033779624,0.9606509,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334897977,-0.27759174,0.0013296461,-0.0041152583,0.9606895,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334947970,-0.27792516,0.0032818469,-0.0052217385,0.9605829,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
334992963,-0.2788152,0.005038626,-0.0058346414,0.9603139,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335047956,-0.2808977,0.0085750185,-0.0079839965,0.95966625,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335097949,-0.2828188,0.012893547,-0.009940189,0.95903516,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335147942,-0.2858468,0.018578533,-0.011391592,0.95802754,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335197935,-0.2896669,0.022835711,-0.012116099,0.95677835,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335247928,-0.2935723,0.024546536,-0.015452643,0.9554968,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335297920,-0.29783118,0.025656303,-0.016672878,0.9541281,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335342914,-0.3016829,0.024531212,-0.013358633,0.9529991,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335397906,-0.3057205,0.023649972,-0.012845795,0.9517409,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335447899,-0.30912086,0.020770516,-0.009068019,0.9507527,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335497893,-0.31213847,0.017229294,-0.006995625,0.9498547,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335547885,-0.31487513,0.014694765,-0.0049832626,0.9490063,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335597878,-0.31713146,0.010726952,-0.004614249,0.9483098,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335647872,-0.3191517,0.0075968,-0.0031394952,0.947668,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335692864,-0.3203001,0.0039594662,-0.002876577,0.9473035,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335747857,-0.32144406,0.0009434485,-0.0036365949,0.9469212,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335797850,-0.32250178,-0.00051091483,-0.0030681647,0.9465638,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335847846,-0.3228776,-0.0015784287,-0.0046320953,0.9464281,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335897863,-0.3234888,-0.0020438628,-0.0040768785,0.946221,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335947832,-0.32322487,-0.003206212,-0.0014833726,0.9463157,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
335997822,-0.32314178,-0.0036118778,-0.0019933933,0.9463416,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336042816,-0.3228398,-0.0016772852,-0.001948033,0.9464502,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336097808,-0.3219406,-0.0021646395,-0.002305666,0.9467546,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336147804,-0.32150683,-0.0019230156,-0.0021095127,0.94690305,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336197794,-0.32088894,-0.0016887445,-0.0026843937,0.94711155,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336247786,-0.32021746,-0.0008329221,-0.002035582,0.9473416,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336297779,-0.31976628,-0.00052303274,-5.647751e-05,0.9474963,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336347772,-0.3186438,0.0007865989,0.0014649091,0.9478731,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336392766,-0.31810427,0.0029165933,-0.000284645,0.9480512,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336447758,-0.31726643,0.0046270457,0.00042800157,0.94832504,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336497752,-0.31642154,0.004727007,0.00025420482,0.94860697,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336547744,-0.31606022,0.00441441,0.00090722914,0.9487285,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336592741,-0.31519914,0.004527839,0.0021911033,0.9490123,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336647735,-0.31666893,0.004549674,-0.0010242662,0.9485248,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336697722,-0.31920937,0.0042381524,-0.00096027803,0.9476743,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336742716,-0.32091784,0.0029184413,0.0002049172,0.94710255,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336797709,-0.3231581,0.0023791546,-0.0013471948,0.94634104,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336847701,-0.3249158,0.0038197837,-0.0028011615,0.94573116,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336897695,-0.32623684,0.0041183755,-0.0020473371,0.9452769,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336947687,-0.32728776,0.004010378,-0.00067418587,0.94491607,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
336997680,-0.32811096,0.0022731305,-0.00021970793,0.94463646,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337047673,-0.32824078,0.0022975882,0.0008474325,0.944591,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337097666,-0.3278832,0.0009594688,0.003175522,0.94471246,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337147659,-0.3272034,-0.0016864009,0.003017041,0.9449477,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337197652,-0.32675874,-0.0014863198,0.0028399078,0.94510233,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337247644,-0.3271974,0.002004602,0.0026885467,0.94495016,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337297638,-0.32796362,0.0077936617,0.00046346113,0.9446581,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337347631,-0.32923153,0.012249802,-0.0015736528,0.9441685,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337397623,-0.33046752,0.01327287,-0.0021087327,0.9437217,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337447616,-0.3314628,0.014620481,-0.0028837547,0.9433506,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337497610,-0.33247668,0.014227251,-0.0043721544,0.9429941,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337547602,-0.33324558,0.011852404,-0.0051527983,0.9427516,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337597595,-0.3336297,0.009963431,-0.0051666796,0.94263744,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337647635,-0.33437774,0.010166256,-0.005141609,0.94237036,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337697596,-0.33543196,0.006351397,-0.0078045535,0.9420107,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337747591,-0.33604723,-0.0053447164,-0.015334011,0.94170517,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337797567,-0.33631444,-0.024036406,-0.018083956,0.9412693,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337847559,-0.3352003,-0.043590683,-0.01756578,0.940974,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337897553,-0.33413473,-0.057166465,-0.017992923,0.940618,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337947546,-0.3328565,-0.062413037,-0.019416755,0.9407094,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
337992539,-0.33203247,-0.060703706,-0.01945615,0.9411116,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338047534,-0.33152962,-0.053320788,-0.019983012,0.9417249,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338097526,-0.3312172,-0.037740443,-0.017112048,0.9426442,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338147517,-0.33094272,-0.016240412,-0.01026018,0.9434554,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338197533,-0.33060738,0.0063852677,-0.0023916431,0.94374377,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338247503,-0.33044955,0.026604649,0.002518935,0.9434453,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338297497,-0.33022404,0.03263363,0.0044375933,0.94332784,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338347489,-0.3299363,0.024394777,0.0022898219,0.94368523,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338397482,-0.32951453,0.0116322115,0.003544167,0.9440722,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338447475,-0.32912046,-0.0011886155,0.012346274,0.9442065,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338497468,-0.3287076,-0.015986394,0.02322211,0.9440109,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338547460,-0.3280105,-0.032397173,0.027653297,0.9437134,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338597454,-0.32786953,-0.04476133,0.022931302,0.94338334,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338647447,-0.32805315,-0.0606028,0.014950722,0.9425949,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338697447,-0.32771873,-0.0789039,0.008956999,0.9414321,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338747432,-0.326329,-0.09595967,0.006309959,0.9403518,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338797426,-0.32562277,-0.10053067,0.003014482,0.9401353,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338847419,-0.32589555,-0.09542711,-0.0029915283,0.94057256,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338897411,-0.32642546,-0.08601599,-0.013250892,0.9412078,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338947404,-0.32793677,-0.07279691,-0.028156407,0.94146985,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
338997434,-0.328724,-0.058064427,-0.037993297,0.94187343,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339047396,-0.32898927,-0.041166134,-0.041873932,0.94250625,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339097383,-0.32898816,-0.019990271,-0.040099654,0.94327056,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339147376,-0.32902783,0.0021901836,-0.033680476,0.9437169,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339197369,-0.32882914,0.024081366,-0.021734916,0.94383216,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339247361,-0.32850534,0.046140127,-0.008571825,0.94333553,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339297355,-0.32817942,0.06263845,0.004773952,0.9425243,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339347347,-0.32819435,0.07142216,0.02015662,0.9416906,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339397394,-0.3287965,0.070399426,0.039909784,0.94092727,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339447350,-0.32980025,0.06332424,0.065405466,0.93965095,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339497365,-0.33059004,0.052607585,0.090444975,0.9379565,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339547319,-0.33113146,0.042074397,0.11382548,0.9357486,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339597312,-0.33129078,0.02962871,0.12830102,0.9342952,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339647329,-0.33189392,0.01723466,0.13215894,0.93385416,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339697297,-0.3318371,0.007015447,0.13086675,0.93418884,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
339747292,-0.3313454,0.002767595,0.121572286,0.93564034,0.9999994,5.5200755e-10,-4.978462e-10,0.0010790451,3
