timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
332828103,0,362048063,1382529197,49094,86190,0.24400002,1.7635145,1.0550001,1.6990001,0.71,1.2099999,105,35,0.010000001,0.010000001,-0.002,-0.021000002,0.0,0,nan,0.0,3,1,14
333022041,0,362048063,1382529197,49092,86188,0.22800002,1.7635148,1.054,1.6980001,0.71,1.2099999,105,35,0.010000001,-0.0050000004,-0.008,-0.013,0.0,0,nan,0.0,3,1,14
334034093,0,362048064,1382529198,49104,86200,0.21300001,1.7635165,1.051,1.6980001,0.71,1.2099999,105,32,0.027,0.026,0.009000001,-0.006,0.0,0,nan,0.0,3,1,14
334829026,0,362048064,1382529198,49105,86201,0.264,1.7635183,1.049,1.6990001,0.71,1.2099999,105,40,0.025,0.013,0.022000002,-0.086,0.0,0,nan,0.0,3,1,14
335824598,0,362048061,1382529197,49138,86235,0.363,1.7635205,1.0580001,1.7140001,0.71,1.2099999,105,32,0.141,-0.135,0.040000003,-0.25,0.0,0,nan,0.0,3,1,14
336824032,0,362048064,1382529200,49143,86239,0.32000002,1.763523,1.077,1.7530001,0.71,1.2099999,105,28,0.013,-0.001,-0.013,0.057000004,0.0,0,nan,0.0,3,1,14
337825026,0,362048060,1382529192,49133,86230,0.53300005,1.7635263,1.167,1.84,0.71,1.2099999,105,36,0.039,0.031000001,-0.024,0.057000004,0.0,0,nan,0.0,3,1,14
338828145,0,362048065,1382529195,49181,86277,0.3,1.7635295,1.1880001,1.8550001,0.71,1.2099999,105,28,0.016,0.007,0.015000001,0.075,0.0,0,nan,0.0,3,1,14
339826060,0,362048071,1382529197,49206,86303,0.39100003,1.763532,1.21,1.8820001,0.71,1.2099999,105,23,0.13000001,0.028,0.127,-0.20400001,0.0,0,nan,0.0,3,1,14
340821028,0,362048075,1382529191,49039,86135,0.28500003,1.7635343,1.2030001,1.8750001,0.71,1.2099999,105,16,0.042000003,0.011000001,-0.041,0.13900001,0.0,0,nan,0.0,3,1,14
341829026,0,362048074,1382529192,49068,86164,0.272,1.7635366,1.182,1.8540001,0.71,1.2099999,105,18,0.015000001,0.015000001,0.004,0.046000004,0.0,0,nan,0.0,3,1,14
342825031,0,362048072,1382529192,49053,86149,0.31100002,1.7635386,1.1830001,1.8610001,0.71,1.2099999,105,29,0.044000003,-0.042000003,0.014,-0.102000006,0.0,0,nan,0.0,3,1,14
343822810,0,362048071,1382529189,49043,86140,0.287,1.7635411,1.184,1.8700001,0.71,1.2099999,104,24,0.017,-0.016,0.004,0.038000003,0.0,0,nan,0.0,3,1,14
344827153,0,362048075,1382529190,49062,86159,0.30400002,1.7635434,1.187,1.881,0.71,1.2099999,104,24,0.017,0.017,0.0,-0.056,0.0,0,nan,0.0,3,1,14
345826025,0,362048076,1382529190,49055,86151,0.294,1.7635456,1.184,1.8820001,0.71,1.2099999,104,20,0.007,0.007,0.0,-0.017,0.0,0,nan,0.0,3,1,14
346826025,0,362048077,1382529191,49001,86097,0.289,1.7635477,1.184,1.8850001,0.71,1.2099999,104,48,0.038000003,-0.027,-0.027,0.063,0.0,0,nan,0.0,3,1,14
347831036,0,362048075,1382529195,49083,86179,0.261,1.7635502,1.1850001,1.889,0.71,1.2099999,104,26,0.060000002,-0.060000002,-0.002,0.004,0.0,0,nan,0.0,3,1,14
348830043,0,362048074,1382529194,49098,86194,0.26700002,1.7635522,1.1830001,1.8900001,0.71,1.2099999,104,28,0.027,0.001,0.027,-0.035,0.0,0,nan,0.0,3,1,14
349824026,0,362048074,1382529192,49043,86139,0.30600002,1.7635547,1.1880001,1.904,0.71,1.2099999,104,46,0.082,0.068,-0.046000004,0.075,0.0,0,nan,0.0,3,1,14
350824027,0,362048075,1382529192,49004,86101,0.22200002,1.7635564,1.197,1.9280001,0.71,1.2099999,104,19,0.040000003,0.0050000004,-0.040000003,0.0050000004,0.0,0,nan,0.0,3,1,14
351826342,0,362048076,1382529192,48957,86053,0.27400002,1.7635592,1.2060001,1.9510001,0.71,1.2099999,104,34,0.059000004,-0.045,-0.038000003,0.024,0.0,0,nan,0.0,3,1,14
