timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
333003247,169427056,36.20478810000001,138.2529164,2.0317216,0.27051362,0.21004981,-0.009997261,0.013038626,0.0,0.0073087243,-0.003492772,0.024354238,-0.0023234994,0.0045670727,-0.008237397,-0.022344075,-0.0061144014,-0.010478785,-0.010617748,-2.5779858,0.0021580907,44.252674,0.1,0.35439503,0.39106968,0.14061219,0.10417738,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
333013247,169427056,36.20478810000001,138.2529164,2.0317318,0.27054894,0.21000609,-0.009997261,0.013038626,0.0,0.007337098,-0.0035587356,0.024259739,-0.0023894056,0.0045670727,-0.008237397,-0.022344075,0.011253831,-0.012239776,-0.00031298742,-2.5779724,0.0021580907,44.252674,0.1,0.35522088,0.39173612,0.14105982,0.10436474,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
333113230,169427056,36.20478810000001,138.2529164,2.031564,0.27087426,0.20908894,-0.009997261,0.013038626,0.0,0.0064009326,-0.0029234649,0.021394987,-0.00545785,0.0045670727,-0.008237397,-0.022344075,0.5202014,-0.15041357,-0.60685277,-2.5778964,0.0021580907,44.252674,0.1,0.34708434,0.38928288,0.13663492,0.10294198,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
334193134,169427056,36.20478810000001,138.2529164,2.0335753,0.2819629,0.18228185,-0.009997261,0.013038626,0.0,0.007182963,0.004037632,0.0070705083,-0.028624399,0.0045670727,-0.008237397,-0.022344075,0.44273564,0.4329845,-1.0049201,-2.5776136,0.0021580907,44.252674,0.1,0.3528144,0.3911434,0.1400898,0.10406056,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
334203108,169427056,36.20478810000001,138.2529164,2.0337284,0.2820917,0.18192093,-0.009997261,0.013038626,0.0,0.0057840417,-0.001207991,0.010827104,-0.02490963,0.0045670727,-0.008237397,-0.022344075,-0.4535395,0.29816797,0.51721275,-2.5777712,0.0021580907,44.252674,0.1,0.3536359,0.38937664,0.14052765,0.10398353,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
334293065,169427056,36.20478810000001,138.2529164,2.0346766,0.2831411,0.17938279,-0.009997261,0.013038626,0.0,0.003583717,-0.0057480913,0.010555062,-0.02491158,0.0045670727,-0.008237397,-0.022344075,-1.0842685,-0.26063645,1.0832121,-2.5776331,0.0021580907,44.252674,0.1,0.34471595,0.3887073,0.13559896,0.10262625,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
334393050,169427056,36.20478810000001,138.2529164,2.033482,0.28409505,0.17647097,-0.009997261,0.013038626,0.0,-0.005857654,-0.0051571177,0.018041281,-0.017315978,0.0045670727,-0.008237397,-0.022344075,-1.8935164,-2.9218817,0.6736418,-2.5776556,0.0021580907,44.252674,0.1,0.3526654,0.39046094,0.1400474,0.10398071,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
334493084,169427056,36.20478810000001,138.2529164,2.0327373,0.28490263,0.17328992,-0.009997261,0.013038626,0.0,0.015165713,-0.0057998877,0.0034808363,-0.032033235,0.0045670727,-0.008237397,-0.022344075,2.5538852,-1.8968033,-1.8130615,-2.5777845,0.0021580907,44.252674,0.1,0.34458315,0.3880439,0.13555594,0.10255158,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
334593028,169427056,36.20478810000001,138.2529164,2.0334847,0.28576013,0.16958556,-0.009997261,0.013038626,0.0,-0.0015084184,-0.0031172181,0.008043357,-0.028428676,0.0045670727,-0.008237397,-0.022344075,-2.981917,-0.18004732,-0.7074207,-2.5775561,0.0021580907,44.252674,0.1,0.352531,0.3897866,0.13994472,0.103902854,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
334693007,169427056,36.20478810000001,138.2529164,2.0338588,0.2865647,0.16630433,-0.009997261,0.013038626,0.0,0.0067815115,0.01264534,0.0023792533,-0.034118857,0.0045670727,-0.008237397,-0.022344075,1.3886961,0.8989414,-1.0046614,-2.577972,0.0021580907,44.252674,0.1,0.3445191,0.38738638,0.13562275,0.10248927,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
