timestamp,safety_switch_available,safety_off,override_available,override_enabled
258534742,1,1,0,0
259544575,1,1,0,0
260554467,1,1,0,0
261566769,1,1,0,0
262584288,1,1,0,0
263598928,1,1,0,0
264613763,1,1,0,0
265626114,1,1,0,0
266633380,1,1,0,0
267640715,1,1,0,0
268647962,1,1,0,0
269665475,1,1,0,0
270687724,1,1,0,0
271702508,1,1,0,0
272712307,1,1,0,0
273714754,1,1,0,0
274727032,1,1,0,0
275749258,1,1,0,0
276761539,1,1,0,0
277776480,1,1,0,0
278783790,1,1,0,0
279801231,1,1,0,0
280813584,1,1,0,0
281825825,1,1,0,0
282828101,1,1,0,0
283845377,1,1,0,0
284862858,1,1,0,0
285884954,1,1,0,0
286904777,1,1,0,0
287924636,1,1,0,0
288934551,1,1,0,0
289946828,1,1,0,0
290949055,1,1,0,0
291963923,1,1,0,0
292983771,1,1,0,0
293986155,1,1,0,0
294998289,1,1,0,0
296005671,1,1,0,0
297010503,1,1,0,0
298017844,1,1,0,0
299032524,1,1,0,0
300047401,1,1,0,0
301059709,1,1,0,0
302066947,1,1,0,0
303084365,1,1,0,0
304099102,1,1,0,0
305111399,1,1,0,0
306118692,1,1,0,0
307123577,1,1,0,0
308138375,1,1,0,0
309145671,1,1,0,0
310160345,1,1,0,0
311170267,1,1,0,0
312182740,1,1,0,0
313194908,1,1,0,0
314204617,1,1,0,0
315226911,1,1,0,0
316229220,1,1,0,0
317241483,1,1,0,0
318243819,1,1,0,0
319258611,1,1,0,0
320270927,1,1,0,0
321280832,1,1,0,0
322295527,1,1,0,0
323297802,1,1,0,0
324312576,1,1,0,0
325317500,1,1,0,0
326327215,1,1,0,0
327331975,1,1,0,0
328346754,1,1,0,0
329351528,1,1,0,0
330371402,1,1,0,0
331393631,1,1,0,0
332408498,1,1,0,0
333418196,1,1,0,0
334435464,1,1,0,0
335445474,1,1,0,0
336457662,1,1,0,0
337469917,1,1,0,0
338482206,1,1,0,0
339494561,1,1,0,0
340506810,1,1,0,0
341523931,1,1,0,0
342541298,1,1,0,0
343561143,1,1,0,0
344578402,1,1,0,0
345590703,1,1,0,0
346603031,1,1,0,0
347612803,1,1,0,0
348619945,1,1,0,0
349634834,1,1,0,0
350639523,1,1,0,0
351651821,1,1,0,0
352664107,1,1,0,0
353678833,1,1,0,0
354688619,1,1,0,0
355695837,1,1,0,0
356703133,1,1,0,0
357725498,1,1,0,0
358732903,1,1,0,0
359737504,1,1,0,0
360747224,1,1,0,0
361761976,1,1,0,0
362776883,1,1,0,0
363794100,1,1,0,0
364816314,1,1,0,0
365823585,1,1,0,0
366833324,1,1,0,0
367848204,1,1,0,0
368850465,1,1,0,0
369855089,1,1,0,0
370859928,1,1,0,0
371867228,1,1,0,0
372882002,1,1,0,0
373899226,1,1,0,0
374913978,1,1,0,0
375933815,1,1,0,0
376935964,1,1,0,0
377950664,1,1,0,0
378968008,1,1,0,0
379987740,1,1,0,0
380992514,1,1,0,0
382002303,1,1,0,0
383009495,1,1,0,0
384019201,1,1,0,0
385036548,1,1,0,0
386046294,1,1,0,0
387063566,1,1,0,0
388070823,1,1,0,0
389090558,1,1,0,0
390095336,1,1,0,0
391100067,1,1,0,0
392104813,1,1,0,0
393109643,1,1,0,0
394121785,1,1,0,0
395134136,1,1,0,0
