timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
258847608,-0.3252074,0.010554437,-0.006517632,0.94556135,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
258852607,-0.32520434,0.010556366,-0.006516953,0.9455624,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
258902598,-0.32521376,0.010552205,-0.0065011843,0.9455594,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
258952588,-0.32493895,0.010649694,-0.0065211933,0.9456526,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
258997580,-0.32523155,0.010716877,-0.006385304,0.9455522,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259047572,-0.32549694,0.01058758,-0.006390759,0.9454622,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259102562,-0.32528996,0.010757028,-0.00645099,0.9455312,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259152553,-0.32517162,0.01065312,-0.0066040847,0.94557196,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259197545,-0.32530734,0.010754339,-0.006483817,0.945525,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259252537,-0.32542056,0.010733371,-0.006450599,0.94548655,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259302527,-0.32532135,0.010841446,-0.00637548,0.9455199,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259347519,-0.32538128,0.010779047,-0.006418385,0.9454997,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259397510,-0.3254192,0.010782187,-0.006429876,0.94548655,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259452501,-0.32535452,0.010744015,-0.006523717,0.94550866,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259502492,-0.3254202,0.010769646,-0.006487934,0.9454859,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259547484,-0.32544646,0.010790335,-0.0064574033,0.9454769,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259602474,-0.3254746,0.010755232,-0.006524924,0.9454672,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259652466,-0.32549712,0.010837352,-0.0064273314,0.9454591,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259697457,-0.3255185,0.010806384,-0.0063842037,0.9454524,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259747449,-0.32559523,0.0107733235,-0.0064192205,0.94542605,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259802439,-0.32550332,0.010687332,-0.0064420723,0.94545853,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259852431,-0.32558995,0.010673809,-0.006425948,0.94542897,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259897422,-0.32560456,0.01066258,-0.0064020767,0.9454243,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
259952413,-0.32559597,0.010619543,-0.0065005724,0.94542706,0.9999948,-4.610795e-10,1.5842416e-09,0.0032373846,3
