timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
258786283,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
259294196,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
259801116,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
260309078,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
260815263,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
261321372,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
261828079,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
261949356,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
262460079,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
262961119,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
263471089,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
263971114,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
264483216,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
264991241,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
265499083,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
266008077,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
266515204,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
267021116,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
267527116,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
268035217,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
268543083,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
269052491,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
269561829,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
