timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
258725029,0,362048117,1382529164,49204,86300,0.321,2.0173786,2.039,3.0080001,0.84,1.3,102,47,0.020000001,0.011000001,-0.017,0.042000003,0.0,0,nan,0.0,3,1,11
258922223,0,362048117,1382529164,49187,86283,0.321,2.0173793,2.036,3.005,0.84,1.3,102,47,0.008,0.0050000004,-0.006,0.052,0.0,0,nan,0.0,3,1,11
259726029,0,362048115,1382529165,49172,86268,0.30600002,2.0173805,2.0240002,2.993,0.84,1.3,102,49,0.018000001,-0.016,0.009000001,0.12100001,0.0,0,nan,0.0,3,1,11
260725131,0,362048115,1382529162,49122,86218,0.328,2.0173829,2.009,2.979,0.84,1.3,102,38,0.062000003,0.040000003,-0.047000002,0.087000005,0.0,0,nan,0.0,3,1,11
261729117,0,362048108,1382529166,49210,86306,0.43,2.0173855,1.9980001,2.97,0.84,1.3,102,35,0.26200002,-0.23400001,0.117000006,-0.07300001,0.0,0,nan,0.0,3,1,11
262731071,0,362048106,1382529170,49208,86305,0.39000002,2.0173883,2.0040002,2.9850001,0.84,1.3,102,26,0.009000001,0.007,-0.004,0.101,0.0,0,nan,0.0,3,1,11
263724175,0,362048111,1382529171,49343,86440,0.372,2.017391,2.006,2.993,0.84,1.3,102,10,0.19900002,0.19600001,0.039,-0.14500001,0.0,0,nan,0.0,3,1,11
264727097,0,362048111,1382529183,49536,86633,0.35300002,2.0173936,2.0080001,2.9940002,0.84,1.3,102,10,0.072000004,0.072000004,-0.001,-0.127,0.0,0,nan,0.0,3,1,11
265728040,0,362048113,1382529184,49466,86562,0.354,2.0173955,2.0,2.9840002,0.84,1.3,102,36,0.083000004,-0.035,0.075,-0.147,0.0,0,nan,0.0,3,1,11
266722555,0,362048113,1382529184,49460,86556,0.314,2.017398,1.9890001,2.9710002,0.84,1.3,102,22,0.004,0.004,0.001,-0.030000001,0.0,0,nan,0.0,3,1,11
267728075,0,362048109,1382529196,49549,86646,0.33,2.0174003,1.9710001,2.947,0.84,1.3,102,33,0.109000005,0.056,-0.094000004,0.22700001,0.0,0,nan,0.0,3,1,11
268726347,0,362048109,1382529206,49528,86625,0.532,2.017403,1.9760001,2.9490001,0.84,1.3,102,47,0.07,-0.020000001,0.068,-0.033,0.0,0,nan,0.0,3,1,11
269730108,0,362048116,1382529206,49515,86611,0.34500003,2.0174057,1.996,2.966,0.84,1.3,102,28,0.091000006,0.089,-0.021000002,0.045,0.0,0,nan,0.0,3,1,11
270727247,0,362048118,1382529207,49450,86546,0.32000002,2.017408,1.9820001,2.947,0.84,1.3,102,33,0.056,0.039,0.040000003,-0.046000004,0.0,0,nan,0.0,3,1,11
271726682,0,362048118,1382529199,49366,86463,0.335,2.0174103,1.9640001,2.9250002,0.84,1.3,102,27,0.023000002,-0.011000001,-0.020000001,0.086,0.0,0,nan,0.0,3,1,11
272725034,0,362048115,1382529197,49279,86375,0.31100002,2.0174127,1.9540001,2.917,0.84,1.3,102,36,0.097,-0.07300001,0.063,0.066,0.0,0,nan,0.0,3,1,11
273724143,0,362048115,1382529197,49178,86274,0.44300002,2.0174155,1.968,2.9410002,0.84,1.3,109,30,0.11100001,0.082,-0.076000005,0.037,0.0,0,nan,0.0,3,1,11
274728249,0,362048116,1382529196,49150,86246,0.504,2.0174184,1.9850001,2.9880002,0.84,1.3,109,13,0.044000003,-0.039,-0.019000001,-0.045,0.0,0,nan,0.0,3,1,11
275724060,0,362048120,1382529201,49183,86279,0.558,2.0174212,1.9950001,3.009,0.84,1.3,109,24,0.156,0.156,0.011000001,-0.09900001,0.0,0,nan,0.0,3,1,11
276728032,0,362048126,1382529223,49150,86246,0.86800003,2.0174258,2.107,3.1020002,0.84,1.3,109,18,0.55200005,0.52500004,0.171,-0.157,0.0,0,nan,0.0,3,1,11
277729032,0,362048168,1382529193,48955,86051,0.711,0.6417474,2.288,3.2730002,0.84,1.3,109,16,0.101,-0.004,0.101,0.08400001,5.739625,0,nan,0.0,3,1,11
278726029,0,362048171,1382529197,48818,85914,0.467,0.64176035,2.3330002,3.351,0.84,1.3,109,10,0.25800002,0.053000003,0.252,0.014,5.739625,0,nan,0.0,3,1,11
279723104,0,362048173,1382529207,48951,86047,0.44200003,0.64176995,2.3240001,3.344,0.84,1.3,109,24,0.063,0.013,-0.061000004,0.12100001,5.739625,0,nan,0.0,3,1,11
280731033,0,362048175,1382529202,48573,85670,0.286,0.6417771,2.2810001,3.2540002,0.84,1.3,108,34,0.022000002,-0.015000001,-0.017,-0.029000001,5.739625,0,nan,0.0,3,1,11
281731109,0,362048174,1382529189,48439,85535,0.254,0.64178336,2.237,3.2010002,0.84,1.3,109,23,0.053000003,-0.001,0.053000003,-0.016,5.739625,0,nan,0.0,3,1,11
282728031,0,362048172,1382529180,48355,85452,0.321,0.6417897,2.2020001,3.1610003,0.84,1.3,109,23,0.032,0.029000001,-0.014,0.031000001,5.739625,0,nan,0.0,3,1,11
283724544,0,362048176,1382529172,48233,85329,0.377,0.6417963,2.1850002,3.1390002,0.84,1.3,109,27,0.14,0.086,-0.11100001,0.15100001,5.739625,0,nan,0.0,3,1,11
284729082,0,362048181,1382529171,48144,85240,0.40300003,0.64180535,2.197,3.1560001,0.84,1.3,108,19,0.038000003,0.008,0.037,-0.066,5.739625,0,nan,0.0,3,1,11
285730033,0,362048199,1382529178,47969,85066,0.9710001,0.64181864,2.2910001,3.2010002,0.87,1.3299999,101,27,0.36100003,0.23400001,-0.275,-0.0050000004,5.739625,0,nan,0.0,3,1,10
286730032,0,362048205,1382529186,48024,85121,0.74100006,0.6418371,2.43,3.3190002,0.87,1.3299999,101,27,0.363,0.24900001,0.263,-0.027,5.739625,0,nan,0.0,3,1,10
287740037,0,362048212,1382529193,47891,84987,0.328,0.6418469,2.397,3.2840002,0.84,1.3,101,25,0.155,-0.068,0.14,-0.078,5.739625,0,nan,0.0,3,1,11
288727032,0,362048223,1382529195,47763,84860,0.34100002,0.6418534,2.3390002,3.2210002,0.84,1.3,101,18,0.021000002,0.021000002,-0.002,0.094000004,5.739625,0,nan,0.0,3,1,11
289729080,0,362048218,1382529203,47829,84926,0.32200003,0.64186,2.289,3.1720002,0.84,1.3,101,22,0.056,0.041,-0.038000003,0.126,5.739625,0,nan,0.0,3,1,11
290723891,0,362048245,1382529185,47559,84656,0.49,0.6418738,2.3400002,3.2110002,0.84,1.3,101,36,0.409,0.17,-0.372,0.20700002,5.739625,0,nan,0.0,3,1,11
291723206,0,362048241,1382529190,47646,84742,0.317,0.6418818,2.283,3.1490002,0.84,1.3,102,19,0.07300001,0.07,0.021000002,0.171,5.739625,0,nan,0.0,3,1,11
292725147,0,362048245,1382529188,47563,84659,0.31100002,0.64188826,2.2180002,3.0760002,0.84,1.3,102,51,0.040000003,-0.039,0.010000001,-0.068,5.739625,0,nan,0.0,3,1,11
293728097,0,362048239,1382529178,47543,84639,0.446,0.6418956,2.1990001,3.0600002,0.84,1.3,102,30,0.025,0.001,-0.025,0.037,5.739625,0,nan,0.0,3,1,11
294725032,0,362048245,1382529175,47576,84673,0.24800001,0.6419043,2.1890001,3.052,0.84,1.3,102,30,0.086,-0.002,-0.086,0.004,5.739625,0,nan,0.0,3,1,11
295724030,0,362048248,1382529170,47500,84596,0.35300002,0.6419117,2.1750002,3.042,0.84,1.3,109,27,0.030000001,0.029000001,-0.007,-0.07,5.739625,0,nan,0.0,3,1,11
296725030,0,362048256,1382529172,47500,84596,0.624,0.6419239,2.232,3.072,0.84,1.3,102,32,0.071,0.003,0.071,-0.007,5.739625,0,nan,0.0,3,1,11
297727030,0,362048253,1382529171,47559,84655,0.40800002,0.6419345,2.246,3.0920002,0.84,1.3,101,14,0.075,0.064,0.038000003,-0.027,5.739625,0,nan,0.0,3,1,11
298729033,0,362048250,1382529167,47469,84565,0.53300005,0.6419452,2.2740002,3.1560001,0.84,1.3,101,10,0.091000006,-0.061000004,-0.068,0.12100001,5.739625,0,nan,0.0,3,1,11
299727071,0,362048249,1382529160,47418,84515,0.351,0.6419553,2.2770002,3.1880002,0.84,1.3,101,21,0.022000002,0.015000001,0.016,0.012,5.739625,0,nan,0.0,3,1,11
300727030,0,362048246,1382529162,47441,84537,0.317,0.6419621,2.2280002,3.1230001,0.84,1.3,101,36,0.051000003,0.0050000004,-0.051000003,0.063,5.739625,0,nan,0.0,3,1,11
301729033,0,362048241,1382529161,47319,84416,0.333,0.64196855,2.2010002,3.095,0.84,1.3,101,25,0.047000002,-0.021000002,0.042000003,-0.080000006,5.739625,0,nan,0.0,3,1,11
302728079,0,362048236,1382529163,47368,84464,0.333,0.64197445,2.1780002,3.075,0.84,1.3,101,16,0.032,0.015000001,0.028,-0.027,5.739625,0,nan,0.0,3,1,11
303726187,0,362048230,1382529190,48062,85158,0.577,0.64198965,2.286,3.1260002,0.84,1.3,101,26,0.303,0.12200001,0.27800003,-0.739,5.739625,0,nan,0.0,3,1,11
304727082,0,362048199,1382529234,48836,85933,0.591,0.64200675,2.443,3.242,0.84,1.3,101,23,0.30200002,-0.043,0.29900002,-0.55300003,5.739625,0,nan,0.0,3,1,11
305726052,0,362048202,1382529219,48601,85697,0.35700002,0.64201707,2.41,3.2,0.84,1.3,102,29,0.056,-0.019000001,0.052,-0.186,5.739625,0,nan,0.0,3,1,11
306727029,0,362048200,1382529216,48398,85495,0.35000002,0.6420237,2.3490002,3.14,0.84,1.3,109,19,0.032,0.029000001,-0.013,0.096,5.739625,0,nan,0.0,3,1,11
307727090,0,362048198,1382529210,48288,85384,0.38500002,0.6420314,2.334,3.141,0.84,1.3,109,17,0.063,0.061000004,-0.016,0.026,5.739625,0,nan,0.0,3,1,11
308729124,0,362048191,1382529201,48173,85270,0.32200003,0.64203876,2.299,3.114,0.84,1.3,109,25,0.017,0.016,-0.007,0.061000004,5.739625,0,nan,0.0,3,1,11
309730042,0,362048185,1382529191,48083,85180,0.24000001,0.6420445,2.2610002,3.088,0.84,1.3,109,24,0.022000002,-0.011000001,0.019000001,0.017,5.739625,0,nan,0.0,3,1,11
